"149","Hårfixarna",,,,,"Erikdahlsgatan 24",NULL,"Skövde",,"54135","SE","58.389353","13.8661497",,,"1426689239","1426689239","3",NULL,,,,,,,
"150","Hårgänget",,,"08-217393",,"Götgatan 31, 1 tr ner",NULL,"Stockholm",,"11621","SE","59.3166773","18.072185",,,"1426689324","1426689324","3",NULL,,,,,,,
"151","Hårhörnan",,,,,"Kung Agnes Väg 7",NULL,"Sollentuna",,"19148","SE","59.4268891","17.953859",,,"1426689432","1426692705","3",NULL,,,,,,,
"152","Hårkällan ",,,,,"Kvarnvägen 10",NULL,"Gustafs",,"78395","SE","60.3898686","15.6625709",,,"1426689558","1426689570","3",NULL,,,,,,,
"153","Hårlinjen",,,,,"Skälbyvägen 21",NULL,"Järfälla",,"17564","SE","59.4018823","17.863896",,,"1426689643","1426689643","3",NULL,,,,,,,
"154","Hårmagasinet",,,"0611-21300",,"Skeppsbron 25",NULL,"Härnosand",,"87130","SE","62.6357138","17.9415253",,,"1426689738","1426692689","3",NULL,,,,,,,
"155","Hårman",,,"0589-16769",,"Smedjegatan 2",NULL,"Arboga",,"73230","SE","59.3944832","15.8405445",,,"1426689859","1426689859","3",NULL,,,,,,,
"156","Hårosånt",,,"0451-10500",,"Vatugatan 8",NULL,"Hässleholm",,"28131","SE","56.1584229","13.7650525",,,"1426689956","1426689956","3",NULL,,,,,,,
"157","Hårsalongen Englund & Åkerman",,,"0278-14180",,"Västra Stationsgatan 3",NULL,"Bollnäs",,"82143","SE","61.3487772","16.3933314",,,"1426690052","1426690052","3",NULL,,,,,,,
"158","Hårskulptören",,,"019-101035",,"Köpmangatan 29",NULL,"Örebro",,"70223","SE","59.2686318","15.21055",,,"1426690141","1426690141","3",NULL,,,,,,,
"159","Hårsmedjan",,,"0510-67111",,"Framnäsvägen 1",NULL,"Lidköping",,"53154","SE","58.5087896","13.1412144",,,"1426690226","1426690226","3",NULL,,,,,,,
"160","Hårspecialisten",,,"08-7553745",,"Sätraängsvägen 134",NULL,"Danderyd",,"18237","SE","59.4170268","18.0044474",,,"1426690409","1426690409","3",NULL,,,,,,,
"161","Hårstrået Drop In",,,"0454-99899",,"Östra Storgatan 38",NULL,"Olofström",,"29334","SE","56.2770696","14.5307419",,,"1426690511","1426690511","3",NULL,,,,,,,
"162","Hårstudion i Sunne",,,"0565-14110",,"Storgatan 43",NULL,"Sunne",,"68630","SE","59.8375437","13.1426294",,,"1426690640","1426690640","3",NULL,,,,,,,
"163","Hårstudion",,,"040-121232",,"Bergsgatan 3",NULL,"Malmö",,"21154","SE","55.5978185","13.009241",,,"1426690711","1426690743","3",NULL,,,,,,,
